,Company Name,Symbol,Stock Exchange,Price 3/6/2020,Price 1/6/2020,Price Change,P/E,Cash Flow,Book Value per Share,Debt Ratio,Percent Price Change,Projected Cash Flow,Investability Rating
69,Caterpillar Inc.,CAT,NYSE,119,147.27,-28.27,9.62,"5,983",25.71,81.35,-19.2%,"6,654",5.46
70,CBOE Holdings Inc,CBOE,NYSE,114.3,120.83,-6.53,21.5,621,31.54,35.09,-5.4%,688,4.9
71,CBRE Group Inc. (A),CBRE,NYSE,54.59,60.56,-5.97,11.23,"1,258",20.69,61.27,-9.86%,"1,431",5.92
72,Centene Corp.,CNC,NYSE,57.18,61.05,-3.87,12.44,"2,242",37.14,69.04,-6.34%,"2,608",4.94
73,CenterPoint Energy Inc.,CNP,NYSE,22,26.77,-4.77,11.02,-214,15.88,76.96,-17.82%,-409,6.69
74,CenturyLink Inc,CTL,NYSE,12.01,12.52,-0.51,7.22,"3,165",13.32,79.19,-4.07%,"3,240",4.88
75,Cerner Corp.,CERN,NAS,70.45,73.36,-2.91,22.64,945,14.09,37.87,-3.97%,"1,047",5.34
76,CF Industries Holdings Inc,CF,NYSE,37.2,45.75,-8.55,18.15,"1,124",13.56,54.87,-18.69%,"1,078",5.44
77,Charles Schwab,SCHW,NYSE,32.96,46.65,-13.69,15.56,"2,290",16.77,92.6,-29.35%,"2,671",5.74
78,Charter Inc (A) (Charter Communications),CHTR,NAS,486.84,492.66,-5.82,34.67,"6,638",151.54,74.24,-1.18%,"7,326",2.26
